city,country,country_clean,continent_name,median_salary,average_salary,rent_usd_proxy,utilities_usd_proxy,grocery_item_price_median,salary_pr,rent_pr,grocery_pr,utilities_pr,affordability_score,cluster_label
Trento,Italy,Italy,Europe,3467.23,3868.92,908.855,138.74,2.14,0.533037374,0.645946646,0.543789646,0.925775401,44.9985326,Low Salary–Low Cost
Sugar Land,United States,United States,Northern America,6966,7925,1544.5,90.57,2.89,0.880446005,0.847448847,0.73480663,0.575187166,55.26401062,High Salary–High Cost
Bottrop,Germany,Germany,Europe,3731.5,4048.63,,105.37,2.105,0.603964485,,0.521792511,0.736470588,,
Iowa City,United States,United States,Northern America,6966,7925,1205.835,106.67,3.945,0.880446005,0.758611759,0.911397585,0.750053476,53.07878717,High Salary–High Cost
Codo,Brazil,Brazil,South America,1490.04,1711.16,111.12,36.405,1.34,0.310241586,0.053613054,0.263147125,0.063529412,58.59116339,High Cost–Low Salary
Texas City,United States,United States,Northern America,6966,7925,900,65,4.41,0.880446005,0.642968143,0.959075097,0.263957219,57.44680861,High Salary–High Cost
Chico,United States,United States,Northern America,6966,7925,1800,99.67,2.985,0.880446005,0.894198394,0.753427461,0.673048128,53.23355052,High Salary–High Cost
Saginaw,United States,United States,Northern America,6966,7925,1150,87.6,3.16,0.880446005,0.738409738,0.797421731,0.539037433,56.91843498,High Salary–High Cost
Kabwe,Zambia,Zambia,Africa,0.26133504,0.28552394,,105.64,1.5,0.000825934,,0.334356456,0.743850267,,
Uzhhorod,Ukraine,Ukraine,Europe,530.73,622.8,291.075,69.8,1,0.115011357,0.245791246,0.098731328,0.31197861,46.07126708,High Cost–Low Salary
Langley,Canada,Canada,Northern America,6311.03,7352.94,1658.32,99.44,3.53,0.757278546,0.871276871,0.86218539,0.671871658,45.47893945,High Salary–High Cost
Machakos,Kenya,Kenya,Africa,863.29,991.43,81.53,36.69,0.965,0.182841214,0.022792023,0.086965418,0.06459893,56.50995711,High Cost–Low Salary
Rochdale,United Kingdom,United Kingdom,Europe,6300,7235.37,461.25,76.88,1.97,0.728370845,0.39005439,0.489052589,0.394973262,64.91126439,High Salary–High Cost
Walbrzych,Poland,Poland,Europe,1496.57,1736.84,825.435,65.36,1.11,0.333987198,0.61020461,0.140679353,0.268449198,47.28841159,High Cost–Low Salary
Xai-Xai,Mozambique,Mozambique,Africa,549.81,631.27,,77.9,1.51,0.120689655,,0.340597504,0.409411765,,
Obninsk,Russia,Russia,Europe,975.51,1065.68,400,81.23,1.92,0.211232707,0.348355348,0.478616738,0.454973262,40.00555057,High Cost–Low Salary
Los Banos,Philippines,Philippines,Asia,728.78,790.54,,114.38,1.49,0.156721041,,0.327501535,0.813368984,,
Reutlingen,Germany,Germany,Europe,3731.5,4048.63,842.995,118.72,2.28,0.603964485,0.615902616,0.583998363,0.836256684,48.93940816,Low Salary–Low Cost
Kyzyl,Russia,Russia,Europe,975.51,1065.68,320,215.33,1.085,0.211232707,0.277000777,0.134335993,0.988877005,46.00551103,Low Salary–Low Cost
Clearwater,United States,United States,Northern America,6966,7925,2270.835,113.75,3.72,0.880446005,0.948717949,0.884694086,0.809518717,48.5628762,High Salary–Moderate Cost
Facatativa,Colombia,Colombia,South America,995.6,1157.85,139.515,44.41,0.705,0.228267603,0.088578089,0.022713321,0.101497326,58.23717487,High Cost–Low Salary
Nyiregyhaza,Hungary,Hungary,Europe,1227.46,1344.23,293.53,59.99,1.225,0.261717943,0.248899249,0.205443012,0.212406417,51.69252362,High Cost–Low Salary
Sassari,Italy,Italy,Europe,3467.23,3868.92,600.635,107.27,1.935,0.533037374,0.48976949,0.481993043,0.757754011,50.97900052,Low Salary–Low Cost
Beppu,Japan,Japan,Asia,3158.67,3453.12,521.16,,2.16,0.501342143,0.433566434,0.549212196,,,
Mendoza,Argentina,Argentina,South America,110.28,129.42,156.725,72.64,1.425,0.009911212,0.10981611,0.301514221,0.346417112,39.98778787,High Cost–Low Salary
Tandil,Argentina,Argentina,South America,110.28,129.42,,65.79,1,0.009911212,,0.098731328,0.270053476,,
Buzau,Romania,Romania,Europe,1739.87,1921.11,235.49,64.22,1.425,0.385091885,0.196063196,0.301514221,0.25197861,57.06283688,High Cost–Low Salary
Helsingborg,Sweden,Sweden,Europe,3568.16,4144.56,856.555,78.19,2.35,0.557402437,0.626780627,0.602414569,0.413048128,48.08707413,Low Salary–Low Cost
Smithtown,United States,United States,Northern America,6966,7925,2225,90,4.83,0.880446005,0.945091945,0.974217311,0.567486631,48.07322222,High Salary–Moderate Cost
